antecedents,consequents
"frozenset({""Beachin'""})","frozenset({'Barefoot Blue Jean Night', 'Crash And Burn'})"
"frozenset({""Buy U a Drank (Shawty Snappin')""})","frozenset({'BedRock', 'Kiss Me Thru The Phone', 'Ignition - Remix', 'Promiscuous', 'Low (feat T-Pain) - Feat T-Pain Album Version', ""It Wasn't Me"", 'Smack That - Dirty', 'Yeah!', 'Gold Digger'})"
"frozenset({""Can't Feel My Face""})","frozenset({'The Hills', 'One Dance', 'Trap Queen', 'Hotline Bling'})"
"frozenset({""Chillin' It""})",frozenset({'Play It Again'})
"frozenset({""Don't It"", 'Barefoot Blue Jean Night'})",frozenset({'Crash And Burn'})
"frozenset({""Don't It"", 'Crash And Burn'})","frozenset({'Leave The Night On', 'Barefoot Blue Jean Night', 'House Party', 'Die A Happy Man'})"
"frozenset({""Don't It"", 'Die A Happy Man'})",frozenset({'Crash And Burn'})
"frozenset({""Don't It"", 'House Party'})","frozenset({'Leave The Night On', 'Crash And Burn'})"
"frozenset({""Don't It"", 'Leave The Night On'})","frozenset({'House Party', 'Crash And Burn'})"
"frozenset({""Don't It""})","frozenset({'Snapback', 'Play It Again', 'Crash And Burn', 'Leave The Night On', 'Barefoot Blue Jean Night', 'Get Me Some Of That', 'T-Shirt', 'Make Me Wanna', 'Let Me See Ya Girl', 'Anything Goes', 'Chicken Fried', 'House Party', 'Stay A Little Longer', 'Springsteen', 'Body Like A Back Road', ""I'm Comin' Over"", 'Break Up with Him', 'Love You Like That', 'Somewhere On A Beach', 'H.O.L.Y.', 'This Is How We Roll', 'Homegrown', 'Die A Happy Man', 'Drunk On A Plane', 'Talladega', 'Dirt'})"
"frozenset({""Don't Let Me Down""})","frozenset({'Roses', 'Closer', 'This Is What You Came For', 'One Dance', 'Let Me Love You'})"
"frozenset({""Don't Stop Believin'""})","frozenset({'Bohemian Rhapsody - Remastered 2011', ""Sweet Child O' Mine""})"
"frozenset({""Don't Wanna Know (feat. Kendrick Lamar)""})",frozenset({'Closer'})
"frozenset({""Don't""})","frozenset({'White Iverson', 'Jumpman', 'Exchange', 'No Role Modelz'})"
"frozenset({""Drop It Like It's Hot""})","frozenset({'Yeah!', 'Gold Digger'})"
"frozenset({""F**kin' Problems""})","frozenset({'Jumpman', 'Low Life', ""I Don't Fuck With You"", 'Ni**as In Paris', 'No Role Modelz', 'Trap Queen', 'm.A.A.d city', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'Caroline', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Broccoli (feat. Lil Yachty)'})"
"frozenset({""Hips Don't Lie""})","frozenset({'Hollaback Girl', 'Party In The U.S.A.', 'Ignition - Remix', 'Yeah!', 'Gold Digger', 'Promiscuous'})"
"frozenset({""Huntin', Fishin' And Lovin' Every Day""})",frozenset({'Play It Again'})
"frozenset({""I Don't Dance""})","frozenset({'Play It Again', 'Die A Happy Man'})"
"frozenset({""I Don't Fuck With You""})","frozenset({'Hotline Bling', 'Trap Queen', 'No Role Modelz', 'HeadBand (feat. 2 Chainz)', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Broccoli (feat. Lil Yachty)', 'Ni**as In Paris', 'Jumpman', '679 (feat. Remy Boyz)', 'Antidote', 'White Iverson', ""F**kin' Problems"", 'Only', 'No Type', 'No Hands (feat. Roscoe Dash and Wale) - Explicit Album Version', 'Panda', 'Bounce Back', 'Come Get Her'})"
"frozenset({""I'm Comin' Over"", 'Crash And Burn'})",frozenset({'Die A Happy Man'})
"frozenset({""I'm Comin' Over""})","frozenset({'Play It Again', 'Crash And Burn', ""Don't It"", 'Leave The Night On', 'Barefoot Blue Jean Night', 'Make You Miss Me', 'T-Shirt', 'Take Your Time', 'Hurricane', 'House Party', 'Stay A Little Longer', 'Break Up In A Small Town', 'Springsteen', 'Body Like A Back Road', 'Break Up with Him', 'Love You Like That', 'H.O.L.Y.', 'This Is How We Roll', 'Die A Happy Man'})"
"frozenset({""I'm the One"", 'Bad and Boujee (feat. Lil Uzi Vert)'})","frozenset({'iSpy (feat. Lil Yachty)', 'HUMBLE.'})"
"frozenset({""I'm the One"", 'Bounce Back'})","frozenset({'iSpy (feat. Lil Yachty)', 'HUMBLE.'})"
"frozenset({""I'm the One"", 'HUMBLE.'})","frozenset({'iSpy (feat. Lil Yachty)', 'Congratulations', 'Mask Off', 'Bounce Back', 'Bad and Boujee (feat. Lil Uzi Vert)', 'XO TOUR Llif3'})"
"frozenset({""I'm the One"", 'Mask Off'})",frozenset({'HUMBLE.'})
"frozenset({""I'm the One"", 'XO TOUR Llif3'})",frozenset({'HUMBLE.'})
"frozenset({""I'm the One""})","frozenset({'iSpy (feat. Lil Yachty)', 'Congratulations', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'Caroline', 'Fake Love', 'Location', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Broccoli (feat. Lil Yachty)', 'Closer', 'Unforgettable', 'Wild Thoughts', 'Despacito - Remix', 'HUMBLE.', 'Mask Off', 'Slide', 'Bounce Back', 'goosebumps', 'XO TOUR Llif3', ""That's What I Like""})"
"frozenset({""In Case You Didn't Know""})","frozenset({'Body Like A Back Road', 'Die A Happy Man'})"
"frozenset({""It Ain't Me (with Selena Gomez)""})",frozenset({'Closer'})
"frozenset({""It Don't Hurt Like It Used To""})","frozenset({'T-Shirt', 'H.O.L.Y.', 'Body Like A Back Road', 'Die A Happy Man'})"
"frozenset({""It Wasn't Me""})","frozenset({'Hollaback Girl', 'Ignition - Remix', 'Yeah!', 'Gold Digger', 'Promiscuous', ""Buy U a Drank (Shawty Snappin')""})"
"frozenset({""It's A Vibe""})","frozenset({'HUMBLE.', 'XO TOUR Llif3', 'Mask Off'})"
"frozenset({""Runnin' Outta Moonlight""})","frozenset({'Springsteen', 'Wagon Wheel', 'Play It Again', ""That's My Kind Of Night"", 'Crash And Burn', 'Leave The Night On', 'Barefoot Blue Jean Night', 'Get Me Some Of That', 'This Is How We Roll', 'Die A Happy Man', 'It Goes Like This', 'House Party', 'How Country Feels'})"
"frozenset({""Somethin' 'Bout A Truck""})","frozenset({'Barefoot Blue Jean Night', 'Play It Again'})"
"frozenset({""Sweet Child O' Mine""})","frozenset({'Bohemian Rhapsody - Remastered 2011', ""Don't Stop Believin'"", 'Sweet Home Alabama'})"
"frozenset({""That's My Kind Of Night""})","frozenset({'Wagon Wheel', 'Play It Again', 'Crash And Burn', 'Leave The Night On', 'Barefoot Blue Jean Night', 'Dirt Road Anthem', 'Cruise', ""Runnin' Outta Moonlight"", 'T-Shirt', 'Chicken Fried', 'House Party', 'Country Girl (Shake It For Me)', 'Get Your Shine On', 'Springsteen', 'This Is How We Roll', 'Drunk On A Plane', 'Die A Happy Man', 'Round Here', 'Kick The Dust Up'})"
"frozenset({""That's What I Like""})","frozenset({'Despacito - Remix', '24K Magic', 'HUMBLE.', 'Closer', 'Shape of You', ""I'm the One""})"
"frozenset({""Whatever She's Got""})","frozenset({'House Party', 'It Goes Like This', 'Play It Again', 'Crash And Burn', 'Leave The Night On', 'Barefoot Blue Jean Night', 'Die A Happy Man'})"
"frozenset({""Where It's At""})","frozenset({'Leave The Night On', 'Barefoot Blue Jean Night', 'House Party', 'Crash And Burn'})"
frozenset({'$ave Dat Money (feat. Fetty Wap & Rich Homie Quan)'}),frozenset({'Broccoli (feat. Lil Yachty)'})
frozenset({'0 To 100 / The Catch Up'}),"frozenset({'Jumpman', 'No Role Modelz'})"
frozenset({'1-800-273-8255'}),"frozenset({'HUMBLE.', 'Congratulations', 'XO TOUR Llif3'})"
frozenset({'10 Bands'}),frozenset({'Jumpman'})
frozenset({'2 Phones'}),"frozenset({'679 (feat. Remy Boyz)', 'Jumpman', 'Antidote', 'Low Life', 'White Iverson', 'No Role Modelz', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'Caroline', 'Panda', 'Bad and Boujee (feat. Lil Uzi Vert)', 'One Dance', 'Black Beatles', 'Broccoli (feat. Lil Yachty)', 'Really Really'})"
frozenset({'24K Magic'}),"frozenset({""That's What I Like""})"
frozenset({'6 Foot 7 Foot'}),frozenset({'A Milli'})
"frozenset({'679 (feat. Remy Boyz)', 'Jumpman'})","frozenset({'Hotline Bling', 'Broccoli (feat. Lil Yachty)', 'Trap Queen'})"
"frozenset({'679 (feat. Remy Boyz)', 'My Way (feat. Monty)'})",frozenset({'Trap Queen'})
"frozenset({'679 (feat. Remy Boyz)', 'Trap Queen'})","frozenset({'Hotline Bling', 'Jumpman', 'My Way (feat. Monty)', 'Broccoli (feat. Lil Yachty)'})"
frozenset({'679 (feat. Remy Boyz)'}),"frozenset({""I Don't Fuck With You"", 'Hotline Bling', 'My House', '2 Phones', 'Trap Queen', 'No Role Modelz', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Black Beatles', 'Broccoli (feat. Lil Yachty)', 'Ni**as In Paris', 'Jumpman', 'Antidote', 'Low Life', 'Panda', 'The Hills', 'White Iverson', 'No Type', 'No Hands (feat. Roscoe Dash and Wale) - Explicit Album Version', 'Again', 'Flex (Ooh, Ooh, Ooh)', 'Back To Back', 'Come Get Her', 'One Dance', 'My Way (feat. Monty)'})"
frozenset({'A Milli'}),frozenset({'6 Foot 7 Foot'})
frozenset({'A Tale of 2 Citiez'}),frozenset({'No Role Modelz'})
frozenset({'Again'}),"frozenset({'679 (feat. Remy Boyz)', 'Jumpman', 'Trap Queen', 'No Role Modelz'})"
frozenset({'All Night (feat. Knox Fortune)'}),"frozenset({'HUMBLE.', 'Broccoli (feat. Lil Yachty)', 'No Problem (feat. Lil Wayne & 2 Chainz)'})"
frozenset({'Alright'}),frozenset({'No Role Modelz'})
frozenset({'American Country Love Song'}),"frozenset({'Snapback', 'Body Like A Back Road', 'Crash And Burn', 'H.O.L.Y.', 'Barefoot Blue Jean Night', 'Somewhere On A Beach', 'Die A Happy Man', 'T-Shirt', 'House Party'})"
frozenset({'American Kids'}),"frozenset({'Springsteen', 'Play It Again', 'Crash And Burn', 'Leave The Night On', 'Barefoot Blue Jean Night', 'Drunk On A Plane', 'Homegrown', 'Die A Happy Man', 'Chicken Fried', 'House Party'})"
frozenset({'Another One Bites The Dust - Remastered 2011'}),frozenset({'Bohemian Rhapsody - Remastered 2011'})
"frozenset({'Antidote', 'Mask Off'})",frozenset({'Bad and Boujee (feat. Lil Uzi Vert)'})
frozenset({'Antidote'}),"frozenset({'X (feat. Future)', 'Congratulations', ""I Don't Fuck With You"", '2 Phones', 'Trap Queen', 'Fake Love', 'Famous', 'Jumpman', 'F*ck Up Some Commas', 'White Iverson', 'The Hills', 'No Type', 'Flex (Ooh, Ooh, Ooh)', 'Mask Off', 'Back To Back', 'Wet Dreamz', 'goosebumps', 'Come Get Her', 'iSpy (feat. Lil Yachty)', 'Hotline Bling', 'Where Ya At', 'No Role Modelz', 'm.A.A.d city', 'You Was Right', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'pick up the phone', 'R.I.C.O. (feat. Drake)', 'Caroline', 'Bad and Boujee (feat. Lil Uzi Vert)', 'This Could Be Us', 'Black Beatles', 'Broccoli (feat. Lil Yachty)', 'Ni**as In Paris', '679 (feat. Remy Boyz)', 'Father Stretch My Hands Pt. 1', 'Low Life', 'Pop Style', 'Chill Bill', 'HUMBLE.', 'My Way (feat. Monty)', 'Panda', 'Bounce Back', 'One Dance', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Anything Goes', 'House Party'})","frozenset({'Crash And Burn', 'Die A Happy Man'})"
frozenset({'Anything Goes'}),"frozenset({'I Like The Sound Of That', 'Sun Daze', 'Play It Again', 'Crash And Burn', ""Don't It"", 'Leave The Night On', 'Barefoot Blue Jean Night', 'T-Shirt', 'Let Me See Ya Girl', 'May We All', 'House Party', 'Break Up In A Small Town', 'Sippin’ On Fire', 'Body Like A Back Road', 'Love You Like That', 'Somewhere On A Beach', 'This Is How We Roll', 'H.O.L.Y.', 'Drunk On A Plane', 'Die A Happy Man', 'Round Here', 'Confession', 'Dirt'})"
frozenset({'Back To Back'}),"frozenset({'Jumpman', '679 (feat. Remy Boyz)', 'Broccoli (feat. Lil Yachty)', 'Antidote', 'Low Life', 'Hotline Bling', 'White Iverson', 'No Role Modelz', 'Trap Queen', 'Panda', 'One Dance', 'Energy'})"
frozenset({'Backroad Song'}),"frozenset({'Snapback', 'Play It Again', 'Crash And Burn', 'Body Like A Back Road', 'Leave The Night On', 'Barefoot Blue Jean Night', 'H.O.L.Y.', 'Die A Happy Man', 'T-Shirt', 'House Party', 'Stay A Little Longer'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Antidote'})","frozenset({'Bounce Back', 'Broccoli (feat. Lil Yachty)', 'Mask Off'})"
"frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Bank Account'})","frozenset({'HUMBLE.', 'Mask Off', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
